School Number,District,School Code,Name,ENG,NEP,MATH,SCI,SOC,HPE,TOTAL,SAP,DIST,FIRST,SECOND,THIRD,PASS,FAIL,PASS PERCENT
771,SOLUKHUMBU,11003,MAHENDRODAYA MA VI SALYAN,21.4,40.9,14.6,27.8,42.2,40.9,70,69,0,3,7,1,11,58,15.94
772,SOLUKHUMBU,11004,BIRENDRA JYOTI MA VI SOTANG,17.4,41.7,25.7,32.9,43.3,44.9,39,39,0,0,5,0,5,34,12.82
773,SOLUKHUMBU,11005,HIMAL DARSAN MA VI NECHA,13.5,43.4,20.8,24.1,56.8,36.6,56,56,0,2,4,0,6,50,10.71
774,SOLUKHUMBU,11006,KHUMJUNG MA VI KHUMJUNG,43,62.9,35.4,41.6,70.2,56,31,31,0,22,7,0,29,2,93.55
775,SOLUKHUMBU,11007,HIMGANGA MA VI CHAUNLAKHARKA,13.8,36.9,11.8,26.6,47.2,40.9,69,69,0,0,3,0,3,66,4.35
776,SOLUKHUMBU,11008,JUNBESHI MA VI JUNBESHI,33.4,49.3,35.7,32.3,48.9,54.2,18,18,0,0,17,0,17,1,94.44
777,SOLUKHUMBU,11009,CHANGESTHAN MA VI KERUNG,25.8,47.3,29.6,30.4,47.1,53.8,8,8,0,0,5,0,5,3,62.5
778,SOLUKHUMBU,11010,JANAKALYAN MA VI JUBU KHARKA,21.2,49.3,16.5,26.4,53.6,35.1,30,30,0,0,3,0,3,27,10
779,SOLUKHUMBU,11011,HIMALAYA MA VI BASAKHASTAP,24.7,50.2,22.3,32.7,50.8,44.6,12,12,0,0,4,0,4,8,33.33
780,SOLUKHUMBU,11012,KHARI KHOLA MA VI JUBHING,27.4,50.4,20.4,33,58.5,45.8,20,20,0,1,8,0,9,11,45
781,SOLUKHUMBU,11013,MAHENDRA JYOTI MA VI CHAURIKHARKA,38.5,66.4,38.8,39.7,67.1,55.4,25,25,0,14,7,0,21,4,84
782,SOLUKHUMBU,11014,BIRENDRODAYA MA VI BHUMESTHAN MUKLI,19.4,33.7,16.8,23.6,37.1,40.8,25,25,0,1,4,0,5,20,20
783,SOLUKHUMBU,11015,SINGHKALI MA VI TINGLA,23.8,44.8,20.3,23.3,45.9,40.3,19,19,0,2,2,1,5,14,26.32
784,SOLUKHUMBU,11016,KALIKA DEVI MA VI PANCHAN LOSKU,20.3,48.2,19.6,27,42.4,42.9,12,12,0,0,1,0,1,11,8.33
785,SOLUKHUMBU,11017,JANATA MA VI LOKHIM,25.6,41.2,17.9,23.2,50.9,33.8,19,19,0,0,0,2,2,17,10.53
786,SOLUKHUMBU,11018,DEUSA MA VI DEUSA,15.4,35.6,21.5,27,41.4,41.8,23,23,0,0,2,1,3,20,13.04
787,SOLUKHUMBU,11019,SAGARMATHA MA VI BAKU,26.6,44.6,29.6,28.4,45.9,42.3,7,7,0,0,4,0,4,3,57.14
788,SOLUKHUMBU,11020,SAGARMATHA MA VI BUNG,18.5,42.8,20,25.8,57,36.2,28,28,0,0,5,0,5,23,17.86
789,SOLUKHUMBU,11021,B P SANSKRIT MA VI SALYAN SOLUKHUMBU,22.8,59.8,23.8,31.5,48.5,47.3,4,4,0,0,2,0,2,2,50
790,SOLUKHUMBU,11022,JANAPRIYA MA VI TAPTING,15.8,35.2,25.9,27.4,40.8,45.4,10,10,0,0,0,0,0,10,0
791,SOLUKHUMBU,11023,JIVANJYOTI MA VI KANGEL,18.5,49.3,8.8,23.8,53.3,38.1,29,29,0,1,0,0,1,28,3.45
792,SOLUKHUMBU,11024,CHHESKAM MA VI CHHESKAM,11.8,35.4,20,23.4,40.7,42,11,11,0,0,1,0,1,9,9.09
793,SOLUKHUMBU,11025,KANKU MA VI BHEDACHAUR,20.4,40.7,17.5,21.9,43,43.1,23,23,0,0,4,0,4,19,17.39
794,SOLUKHUMBU,11026,GUDEL MA VI GUDEL,21.9,47.3,29.9,34.7,45.7,50.6,16,16,0,0,6,0,6,10,37.5
795,SOLUKHUMBU,11027,KEDAR MA VI NECHA BETGHARI,24.1,46.3,22.6,24.8,43.8,45.1,52,52,0,1,14,0,15,37,28.85
796,SOLUKHUMBU,11029,GANESTHAN MA VI NECHA BATASE GAIREE,17.7,40.6,20.2,23.4,64.2,38.5,14,14,0,0,2,0,2,12,14.29
797,SOLUKHUMBU,11030,TAKSINDU MA VI NUNTHALA,28.3,46.8,21.4,26.5,60.1,37.5,19,19,0,0,6,0,6,13,31.58
798,SOLUKHUMBU,11031,BASA KHALI MA VI BASA,24.7,46,17.3,28.3,41.8,44.3,12,12,0,0,2,0,2,10,16.67
799,SOLUKHUMBU,11032,HIMALAYA MA VI JUBU LUHARE,19.8,41.3,13.3,24,47.9,31.4,27,27,0,0,4,1,5,22,18.52
800,SOLUKHUMBU,11033,BUDDHA MA VI GOLI,20.5,51.3,17,27.4,54.2,39.1,28,28,0,0,7,0,7,21,25
801,SOLUKHUMBU,11034,WHITE HILLS ENGLISH SECONDARY BOARDING SC,H 57.7,51.1,50.3,35.8,58,59.3,10,10,0,4,5,0,9,1,90
802,SOLUKHUMBU,11035,SHREE MOUNT EVEREST ENGLISH SECONDARY SC,63.7,57.2,73.1,46.6,57.4,60.6,9,9,0,8,1,0,9,0,100
803,KHOTANG,12000,PRIVATE DIKTEL,9.5,36,12.5,20,28,24.5,2,2,0,0,0,0,0,2,0
804,KHOTANG,12001,CHAMPAWATI MA VI BUIPA,20.2,34.4,14.5,23.8,39.9,32.3,107,104,0,2,9,6,17,86,16.35
805,KHOTANG,12002,SHARADA MA VI KHARPA,22.3,41.6,15.3,30.8,53.3,36.1,52,52,0,1,4,0,5,45,9.62
806,KHOTANG,12003,SARASWATI MA VI DIKTEL,19.3,53.4,20.6,36.8,38.4,31.2,320,318,0,8,45,3,56,261,17.61
807,KHOTANG,12004,TRIBHUVAN MA VI AINSELUKHARKA,26.7,47.2,16.6,25.4,41.9,34.9,63,63,0,0,6,1,7,56,11.11
808,KHOTANG,12005,PRITHVI MA VI BAKSILA,20.4,34.7,12.9,20.5,35.1,26.7,77,77,0,0,10,0,10,66,12.99
809,KHOTANG,12006,DURCHHIM MA VI DURCHHIMDANDA,21.6,43.2,39.7,25.9,42,36.6,26,26,0,1,7,2,10,16,38.46
810,KHOTANG,12007,DEURALI MA VI DUMREKOT,19.5,36.3,10.3,24.2,48.1,34.3,72,72,0,0,2,0,2,70,2.78
811,KHOTANG,12008,KALIKA BALBIKASH MA VI RAKHA,25.9,47.9,33.7,34.2,52,35.1,16,16,0,1,9,1,11,5,68.75
812,KHOTANG,12009,BIDDHYODAYA MA VI DORPA OKHARBOTE,23.1,34.1,17.5,23.1,39.2,32.4,59,59,0,0,2,5,7,52,11.86
813,KHOTANG,12010,SHREE KRISHNA MA VI TEMMA,22.9,32.4,32,25.3,37.4,30.4,42,42,0,0,5,13,18,24,42.86
814,KHOTANG,12011,BHAGAWATI MA VI KHOTANG BAZAR,23.4,37.5,16.4,23.4,44.7,35.1,70,70,0,0,7,0,7,63,10
815,KHOTANG,12012,CHISAPANI MA VI CHISAPANI,20.3,39.2,26.4,27,33.7,36,114,113,0,1,20,8,29,83,25.66
816,KHOTANG,12013,MAHENDRODAYA MA VI CHUINCHUMBA OKHRE,18.3,37.6,14.7,26.8,41.4,30.6,100,100,0,1,10,1,12,88,12
817,KHOTANG,12014,SIMPANI MA VI SIMPANI,24.4,37.5,27.7,24.5,36.6,33.9,95,95,0,0,18,8,26,69,27.37
818,KHOTANG,12015,SAKELA MA VI RATANCHHA,24.8,39.9,19.4,27.5,37.2,34.5,26,26,0,0,0,2,2,24,7.69
819,KHOTANG,12016,SARASWATI MA VI MATTIM BIRTA,20.1,40.3,33.4,25.9,46.2,37.1,174,173,0,2,42,9,53,118,30.64
820,KHOTANG,12017,JANATA MA VI BHANDARIDANDA BATASE,24.3,36.6,23.3,20.5,35.9,29.7,43,43,0,0,7,4,11,32,25.58
821,KHOTANG,12018,JALAPA MA VI JALAPA,36.3,42.8,30.5,35.1,36.4,35.1,62,62,0,0,28,10,38,24,61.29
822,KHOTANG,12019,BAL KANYA MA VI PHAKTANG DHARTUNG,22.1,41.8,25.1,23.1,36,37.5,76,76,0,3,7,10,20,55,26.32
823,KHOTANG,12020,KUHUNDANDA MA VI KHARTAMCHHA PHEDI,17.9,36.2,18.6,24.5,38.4,31.8,64,64,0,0,2,1,3,61,4.69
824,KHOTANG,12021,MANOKAMANA JANAKALYAN MA VI NIRMALIDANDA,19.2,37.8,18,28.8,36.6,32.6,73,73,0,0,3,3,6,67,8.22
825,KHOTANG,12022,SHIDDHESHAWARI MA VI KHIDIM,20.6,42.6,18.7,21.6,46.1,43,19,19,0,0,3,0,3,16,15.79
826,KHOTANG,12023,SHANKHESWORI MA VI BARAHAPOKHARI,26.9,38.3,19,27.1,47.9,37.1,37,37,0,0,7,0,7,29,18.92
827,KHOTANG,12024,MAKPA MA VI MAKPA,23.6,40.7,20.7,25.8,43.1,32.6,45,44,0,1,6,3,10,34,22.73
828,KHOTANG,12025,KALIKA MA VI KHARMI,41.6,41.7,20,28.3,34.6,33.3,39,39,0,0,3,0,3,36,7.69
829,KHOTANG,12026,SHARADA MA VI HAUNCHUR,35.6,44.8,33.5,36.3,35.6,36.3,47,47,0,3,28,0,31,16,65.96
830,KHOTANG,12027,MA VI MAJHUWA BASBOTE (LAPHYANG),20.6,32.7,22.8,36.3,41.8,30.5,78,77,0,0,15,0,15,62,19.48
831,KHOTANG,12028,JANATA MA VI SALLE-1 HALESI,19.3,38.2,38,26.5,41.5,37.7,30,30,0,0,9,0,9,21,30
832,KHOTANG,12029,SARASWATI MA VI ARKHAULE,28,42.6,40.9,38.8,47.5,38.7,35,35,0,2,24,7,33,2,94.29
833,KHOTANG,12030,BINA MA VI LIKUWA POKHARI,15.8,34.2,25.1,19.8,33.4,31.3,29,29,0,0,1,1,2,27,6.9
834,KHOTANG,12031,MOUNT EVEREST ENGLISH BOARDING SCHOOL DIK,40,53.7,67.8,51,57.5,53.6,24,24,0,16,8,0,24,0,100
835,KHOTANG,12032,KALIKA MA VI NERPA,23.3,38.9,36.7,35.3,47.2,37.5,62,62,0,0,34,3,37,25,59.68
836,KHOTANG,12033,SHISHU MA VI RIBDUNG MAHESHWARI,24,37.6,25.4,23.5,42.3,26.4,57,56,0,0,9,14,23,33,41.07
837,KHOTANG,12034,SAPTAKANYA MA VI CHIPRING,19.1,30.9,12.7,20,35.1,30,63,63,0,0,4,1,5,58,7.94
838,KHOTANG,12035,VISHWAJYOTI MA VI LAMIDANDA,28.9,41.7,18.7,26,53.5,36.5,48,48,0,2,6,1,9,39,18.75
839,KHOTANG,12036,RADHAKRISHNA MA VI CHYANDANDA,19,37.4,16.7,25.4,35.9,28.2,57,56,0,1,7,0,8,48,14.29
840,KHOTANG,12037,SARASWATI MA VI DANDAKHARKA CHHITAPOKHARI,19.7,38.2,17.1,28.9,45.8,28.6,75,75,0,1,9,3,13,62,17.33
841,KHOTANG,12038,LAXMI MA VI BADAHARE KHOKSELI,15.3,34.5,8.5,21.1,49.1,37.6,96,96,0,0,7,0,7,88,7.29
842,KHOTANG,12039,SARASWATI MA VI PATHEKA,25.8,29,20.8,22.1,32.4,30.2,53,52,0,0,3,4,7,44,13.46
843,KHOTANG,12040,PANCHA MA VI DIKTELBAZAR,23.1,54.9,21.8,31.7,39.6,35.9,91,91,0,4,19,1,24,66,26.37
844,KHOTANG,12041,DIKTEL ENGLISH BOARDING SCHOOL DIKTELBAZAR,57.2,66.5,65.3,63.8,58.2,43.4,24,24,0,23,1,0,24,0,100
845,KHOTANG,12042,JYOTI MA VI RAJAPANI KHAMTEL,23.6,41.1,23.5,25.7,44.1,33.2,38,38,0,0,13,6,19,19,50
846,KHOTANG,12043,SABITRA MA VI BAMRANG,19.9,48.5,22,32.9,33.9,36.1,34,34,0,0,8,1,9,25,26.47
847,KHOTANG,12044,MAHENDRODAYA MA VI YAMKHA,31.1,36.1,42.9,31.8,46.8,39.4,17,17,0,0,11,4,15,2,88.24
848,KHOTANG,12045,JALPA MA VI NUNTHALA,24,46.7,32.6,29,49,44.7,45,45,0,0,26,3,29,16,64.44
849,KHOTANG,12046,MAHENDRODAYA MA VI HALESI MAHADEVSTHAN,25.6,36.9,32.3,26.7,36.9,34.2,65,65,0,0,17,19,36,29,55.38
850,KHOTANG,12047,CHYASMITAR MA VI CHYASMITAR,20.4,34.7,11.2,22.3,48.4,39.3,51,51,0,0,4,0,4,47,7.84
851,KHOTANG,12048,KALIKA MA VI BAKACHOL,20.4,36.2,21.5,27.9,46.9,27,53,53,0,0,7,2,9,44,16.98
852,KHOTANG,12049,CHAMPAWATEE MA VI BIJAYAKHARKA BASERI,28.7,45.9,33.5,36.4,56.3,40.4,52,52,0,4,36,2,42,10,80.77
853,KHOTANG,12050,SURYA MA VI RAWA SUNGDEL,19.4,33.1,19.2,19.8,35.4,30.6,65,65,0,0,1,4,5,60,7.69
854,KHOTANG,12051,SHANTI MA VI CHHORAMBU,28.2,47.9,32,32.6,44.3,34.3,27,27,0,0,14,2,16,11,59.26
855,KHOTANG,12052,DHIPLUNG MA VI CHHITAPOKHARI SEMMA,17.3,29.2,25.3,21.1,35.9,31.5,35,35,0,0,1,3,4,31,11.43
856,KHOTANG,12053,SAWA KALI MA VI SAWAKATAHARE,25.4,34.2,14.3,23.3,40.1,36,27,27,0,0,2,0,2,25,7.41
857,KHOTANG,12054,LAXMI MA VI KAHULE,19.9,32.4,12.4,18.8,31.9,30.9,37,37,0,0,0,0,0,37,0
858,KHOTANG,12055,RATNA RAJYA LAXMI MA VI KUBHINDE,24.5,39.1,23.8,26.8,46.9,33.8,31,31,0,0,13,0,13,18,41.94
859,KHOTANG,12056,SHITALA MA VI KHALLE,18.8,34,40.9,33.4,43.1,34.7,50,50,0,3,12,4,19,31,38
860,KHOTANG,12057,BULAPANTHE MA VI DHITUNG-2,26.8,42.4,46.4,29.8,45.8,44.4,40,40,0,6,24,1,31,9,77.5
861,OKHALDHUNGA,13000,PRIVATE OKHALDHUNGA,19.3,38.5,20.3,22.6,36.7,39.9,21,20,0,0,5,1,6,14,30
862,OKHALDHUNGA,13001,SAGARMATHA JANATA MA VI,24.6,44.1,28.8,24.2,39,45.1,69,69,0,4,21,1,26,43,37.68
863,OKHALDHUNGA,13002,BARUNESHWAR MA VI RAMPUR,23,43.2,21.2,25.5,41,41.7,60,60,1,2,11,0,14,46,23.33
864,OKHALDHUNGA,13003,RUMJATAR MA VI RUMJATAR,25.5,44.4,31,29.8,47.9,34.2,85,85,0,4,39,3,46,38,54.12
865,OKHALDHUNGA,13004,HIMALAYA MA VI NISANKHE,18.6,33.7,21.9,32.2,40.4,31.2,120,120,0,3,19,3,25,95,20.83
866,OKHALDHUNGA,13005,PRABUDDHA MA VI CHYANAM,23.1,43.1,29.6,42.3,33.3,47.7,19,19,0,0,9,0,9,10,47.37
867,OKHALDHUNGA,13006,CHANDESHWORY MA VI RAGANI,24.9,48.1,35.3,29.8,40.2,38,39,39,0,2,22,4,28,11,71.79
868,OKHALDHUNGA,13007,SARASWATI MA VI KHANI BHANJYANG,27.6,51.5,18.4,31.2,44.7,46.4,72,72,0,7,12,0,19,53,26.39
869,OKHALDHUNGA,13008,GYAN PRAKASH MA VI GHORAKHORI,18.5,39.1,16.6,26,53.1,33.3,149,149,0,2,15,0,17,132,11.41
870,OKHALDHUNGA,13009,MAMKHA MA VI MAMKHA,29.9,49.6,29.5,29.8,53.7,43.8,43,43,0,3,18,1,22,21,51.16
871,OKHALDHUNGA,13010,GRAMODAYA MA VI GAMNANG,29.7,55.4,33.4,35.5,49.8,44.1,46,46,0,7,26,0,33,13,71.74
872,OKHALDHUNGA,13011,BHAGAVATI MA VI MANE BHANJYANG,13.4,35.7,15.8,23.3,41.1,42.4,74,74,0,0,3,0,3,71,4.05
873,OKHALDHUNGA,13012,RAJYA LAXMI MA VI UNBU,14.7,30.1,11.5,21,34.3,34.7,66,65,0,0,2,1,3,62,4.62
874,OKHALDHUNGA,13013,PUNNYAMATA MA VI BETINEE,24.7,50,26.5,24.2,43.4,44.1,26,26,0,1,10,0,11,15,42.31
875,OKHALDHUNGA,13014,KALIKA MA VI SISNERI BHANJYANG,20.8,35.3,22.4,34.4,29.1,41.4,72,72,0,1,24,0,25,47,34.72
876,OKHALDHUNGA,13015,GOLMA DEVI MA VI PALAPU,22.5,41.5,21.5,27,52.4,32,35,35,0,0,11,0,11,24,31.43
877,OKHALDHUNGA,13016,HIM GANGA MA VI RAWADOLU,30.5,54.7,42.1,35.8,47.7,38.2,32,32,0,5,22,1,28,4,87.5
878,OKHALDHUNGA,13017,HARKAPUR MA VI HARKAPUR,12.9,32.7,13.5,20.6,36.9,37,64,64,0,0,2,0,2,62,3.13
879,OKHALDHUNGA,13018,BIGUTAR MA VI BIGUTAR,19.8,42.4,23.8,22,37.5,43.8,45,45,0,0,9,0,9,36,20
880,OKHALDHUNGA,13019,NARAYANSTHAN MA VI ASINE,24.4,41.4,18,28,43.9,30.9,41,41,0,0,8,0,8,33,19.51
881,OKHALDHUNGA,13020,KALIKA MA VI MOLIDANDA,28.8,49.4,26.5,34.5,41.6,40.7,32,32,0,0,17,0,17,15,53.13
882,OKHALDHUNGA,13021,KUNTA MA VI JYAMIRE,18.6,39.3,20.9,21.8,35.2,39.5,51,51,0,1,11,0,12,39,23.53
883,OKHALDHUNGA,13022,JALPA MA VI TARKERABARI,29.8,54.1,39.1,36.5,48.4,43.9,48,48,0,3,42,0,45,3,93.75
884,OKHALDHUNGA,13023,SHIVADUTI MA VI PRAPCHA,25.7,44.6,23.5,26.3,39.6,42.6,34,34,0,2,9,0,11,23,32.35
885,OKHALDHUNGA,13024,JALPA MA VI KALIMATI,15.5,40.1,11.5,25.3,39.9,38.6,41,40,0,1,3,0,4,36,10
886,OKHALDHUNGA,13025,JANA JEEVAN MA VI WACHPOO POKALI,29.1,56,41.4,36.1,50.2,40.8,46,46,0,9,26,0,35,11,76.09
887,OKHALDHUNGA,13026,PHULMATI MA VI KHIJEE PHALATE,29.9,48,35.1,31.6,46.5,39.6,28,28,0,2,17,2,21,7,75
888,OKHALDHUNGA,13027,GANESH MA VI DHUSKE,23.7,46,22.7,27.3,38.4,45.7,30,30,0,1,9,0,10,20,33.33
889,OKHALDHUNGA,13028,KATUNJE MA VI KATUNJE,18.3,35.1,23.2,32.6,27.4,39.2,38,37,0,0,6,0,6,31,16.22
890,OKHALDHUNGA,13029,BHIMSENSTHAN MA VI KETTUKE,19.7,37,16.3,28.4,39.7,42.4,49,49,0,2,7,0,9,40,18.37
891,OKHALDHUNGA,13030,SARASWOTI MA VI BUGNAM,25.3,41.9,19.6,26.4,38,43.3,29,29,0,0,6,0,6,23,20.69
892,OKHALDHUNGA,13031,YASAM MA VI YASAM,22.7,43.8,19.2,30.5,59.1,34.3,35,35,0,0,5,1,6,29,17.14
893,OKHALDHUNGA,13032,KUIBHIR MA VI KUIBHIRTAR,27.3,54.2,24.3,31,46.4,47.9,46,46,0,2,13,0,15,31,32.61
894,OKHALDHUNGA,13033,LALI GURANSH ENGLISH SCHOOL,59.3,68.6,76.1,56.3,59.4,62.1,8,8,2,6,0,0,8,0,100
895,OKHALDHUNGA,13034,NABAJEEBAN MA VI PHEDIGUTH,20,37.6,12.3,27.6,51.4,32.2,21,21,0,0,2,0,2,19,9.52
896,OKHALDHUNGA,13035,MANAKAMANA MA VI WAKSA,13.6,30.6,11.5,22.1,37.8,38.9,68,68,0,0,1,0,1,67,1.47
897,OKHALDHUNGA,13036,SUNKOSHI MA VI BALAKHU,24.1,44.5,34,44.7,36.7,46.3,31,31,0,3,13,0,16,15,51.61
898,OKHALDHUNGA,13037,JIBAN PRADIP MA VI HARKAPUR,29.4,50.7,35.7,33.3,48.6,47.7,39,39,0,5,27,1,33,6,84.62
899,OKHALDHUNGA,13038,KALIKA MA VI BHALUTHUMKA,18.6,35.3,30.1,24.3,31.8,33.4,18,18,0,0,4,3,7,11,38.89
900,UDAYAPUR,14000,PRIVATE UDAYPUR,24.2,39.6,17.2,21.9,40.1,36.8,34,34,0,0,3,2,5,29,14.71
901,UDAYAPUR,14001,JANATA MA VI DEURI TRIYUGA,24.5,44.2,23.7,22.6,42.3,35.7,154,154,0,3,38,10,51,103,33.12
902,UDAYAPUR,14002,PANCHABATI MA VI UDAYAPURGADHI,29.7,43.2,41.9,35.3,55,44.9,35,35,0,4,26,3,33,2,94.29
903,UDAYAPUR,14003,TRIYUGA MA VI GAIGHAT BAZAR,25.6,46.8,20.4,26.4,41.8,36.6,151,151,0,10,27,1,38,113,25.17
904,UDAYAPUR,14004,TRIVENI MA VI KATARI,39.7,47.4,44.3,42.1,50.6,48.7,140,139,1,45,51,6,103,36,74.1
905,UDAYAPUR,14005,JYOTI MA VI BELTAR,25.1,41.6,20.6,20.5,33.7,33.2,177,177,0,1,36,6,43,134,24.29
906,UDAYAPUR,14006,RASUWA MA VI BHUTAR,23.6,47,15.9,29.9,45.6,42.4,20,20,0,0,5,0,5,15,25
907,UDAYAPUR,14007,JANATA MA VI HADIYA,24.9,46.1,24.1,28,43.5,42.6,137,137,0,4,41,0,45,92,32.85
908,UDAYAPUR,14008,NARAD ADARSHA MA VI BASAHA,25.7,49.4,19.2,25,41.8,37.4,146,146,0,1,23,2,26,120,17.81
909,UDAYAPUR,14009,JANATA MA VI JOGIDAHA,24.7,40.4,19.1,20.2,44,36.1,97,97,0,3,21,0,24,73,24.74
910,UDAYAPUR,14010,MAHENDRA RATNA MA VI RUPATAR,31,41,25.1,38.2,46.2,50.3,21,21,0,0,10,0,10,11,47.62
911,UDAYAPUR,14011,JANATA BELKA MA VI PURANDAHA,21.5,39.5,16,28.3,40.8,34.8,97,96,0,0,5,2,7,89,7.29
912,UDAYAPUR,14012,JANAPREMI MA VI RISKU,27.8,44.9,26.2,34.8,44.8,37.6,101,100,0,3,32,8,43,57,43
913,UDAYAPUR,14013,THANPOKHARI MA VI JYAMIREJHOR,20.5,37.9,15.7,21.3,38.5,34.9,86,85,0,0,9,0,9,76,10.59
914,UDAYAPUR,14014,JANATA MA VI JAHADA GURUNGCHAUR,33,52,19.3,23.1,45.4,37.2,34,34,0,1,7,0,8,26,23.53
915,UDAYAPUR,14015,KOSHI JANTA MA VI,28,47.9,27.7,26.9,47,38.6,22,22,0,0,10,1,11,11,50
916,UDAYAPUR,14016,AMBEBAR JANTA MA VI RAJABASH,29.4,48.9,21,26.8,43.8,44.5,77,77,0,0,22,2,24,53,31.17
917,UDAYAPUR,14017,JANAJYOTI MA VI CHUHADE,19.2,47,27.1,18.4,41.3,39.9,102,102,0,6,13,0,19,83,18.63
918,UDAYAPUR,14018,JANAMUKHI MA VI BASERI,26.2,35.6,15.4,33,39.6,42.7,24,24,0,0,4,0,4,20,16.67
919,UDAYAPUR,14019,MA VI BALAMTA,21.3,40.7,17.1,22.5,38.1,33.5,38,38,0,0,6,1,7,31,18.42
920,UDAYAPUR,14020,MA VI JHILKE POKHARI,27.2,38.8,36.2,30.8,47.4,38.5,57,57,0,0,19,21,40,17,70.18
921,UDAYAPUR,14021,JANATA MA VI GURASE,21.2,43,23.4,26.6,37.2,34.4,45,40,0,0,14,2,16,24,40
922,UDAYAPUR,14022,SIDDHAWATI MA VI KHABU,22,46.4,26.1,29,43.3,37.8,78,78,0,7,23,1,31,47,39.74
923,UDAYAPUR,14023,MA VI MUKURCHI,18.3,44.1,23.5,19.6,40.5,37.3,84,84,0,2,13,0,15,69,17.86
924,UDAYAPUR,14024,MA VI BHALAYADADA,31.5,45.5,43.1,29.7,51.5,37.3,102,102,0,6,56,14,76,26,74.51
925,UDAYAPUR,14025,PRABHAKARI MA VI POKHARE,23.3,42.6,21.9,21.7,42.3,34.9,68,68,0,0,15,1,16,52,23.53
926,UDAYAPUR,14026,DHUWAJAN MA VI BAHUNITAR TAWA SHREE-6,18.7,46.5,29.3,27.2,39.7,37.9,48,48,0,0,5,7,12,36,25
927,UDAYAPUR,14027,LALIGURANS SECONDARY ENGLISH BOARDING SC,59.8,53.4,67,39,60.4,50.8,33,33,0,28,4,0,32,1,96.97
928,UDAYAPUR,14028,PASHUPATI MA VI AAMPTAR,24.4,43.7,15.8,25.6,36,40.1,28,28,0,0,6,1,7,21,25
929,UDAYAPUR,14029,KAKANISHWAR MA VI THANAGAUN,22.9,46.4,28.1,30.7,42.6,38.1,39,39,0,0,19,2,21,18,53.85
930,UDAYAPUR,14030,MA VI LAXMIPUR PORTAHA TRIYUGA,28.5,34.8,25.4,20.8,45.6,36.2,59,59,0,1,12,6,19,40,32.2
931,UDAYAPUR,14031,MAHENDRA DIP MA VI TAMLICHHA,28.5,45.8,25.1,27.3,44.3,34,16,16,0,0,6,1,7,9,43.75
932,UDAYAPUR,14032,JANATA KALIKA MA VI SORUNG CHHABISE,26.6,49.6,40.3,31.6,41.9,38.7,21,21,0,0,13,6,19,2,90.48
933,UDAYAPUR,14033,JANATA MA VI RASUWA LAPHAGAUN,20.3,41.6,18.2,16.7,36.2,39.2,17,17,0,0,0,0,0,17,0
934,UDAYAPUR,14034,MA VI CHHINDRING KHOLA BARRE,32.4,44,42.8,34.8,47.2,34.6,44,44,0,5,15,12,32,12,72.73
935,UDAYAPUR,14035,RASTRIYA MA VI BAGAHA,20.3,39.9,20.3,24.2,40.1,31.9,149,148,0,7,29,7,43,105,29.05
936,UDAYAPUR,14036,SARASWATI MA VI SAWA SIDDHIPUR,23.8,38.3,17.2,21.9,46.2,41.5,25,25,0,0,1,1,2,23,8
937,UDAYAPUR,14037,MA VI MAYANKHU,28.4,39.7,19.5,31.6,38.1,42.2,30,30,0,1,3,1,5,25,16.67
938,UDAYAPUR,14038,RAM JANAKI MA VI MOTIGADA TRIYUGA,25.6,47.1,24.6,29.8,44,40.2,65,65,0,7,11,0,18,47,27.69
939,UDAYAPUR,14039,MAHENDRA MA VI SIRWANI BARAHA,18.6,44.4,19.7,27.4,43,36.3,27,27,0,0,5,1,6,21,22.22
940,UDAYAPUR,14040,MA VI AAMASAL,24.2,40.7,22.3,31.8,45.5,36.2,83,83,0,1,24,1,26,57,31.33
941,UDAYAPUR,14041,MA VI RASUWA JANTE,22.7,39.3,20.9,24.6,38.7,30.8,34,34,0,1,4,4,9,25,26.47
942,UDAYAPUR,14042,SAGARMATHA SECONDARY ENGLISH SCHOOL BEL,42.4,50.3,56.7,39.6,53,49.9,66,66,1,36,18,0,55,11,83.33
943,UDAYAPUR,14043,MA VI SIBAI SUNDARPUR,22.7,38.3,11.7,19.4,39.7,33.4,79,79,0,0,11,1,12,67,15.19
944,UDAYAPUR,14044,SAGARMATHA MODEL MA VI GAIGHAT,34.5,44.1,33.7,25.3,51.7,44.4,92,92,0,18,22,0,40,52,43.48
945,UDAYAPUR,14045,UDAYASI ENGLISH BOARDING SCHOOL JALJALE,57.5,58,58.8,39.6,66.9,52.5,33,33,4,23,2,0,29,4,87.88
946,UDAYAPUR,14046,PUMA ENGLISH BOARDING SCHOOL BELTAR,51.8,55.5,73.4,39.6,55.7,50.3,23,23,0,18,4,0,22,1,95.65
947,UDAYAPUR,14047,NAMUNA SCHOOL TRIYUGA-2,36.2,51.5,40.3,26.7,52.2,47.9,74,74,0,19,24,0,43,31,58.11
948,UDAYAPUR,14048,UDAYAPUR ENGLISH SCHOOL TRI NA PA-2,53.2,53.9,61.2,40.9,65,54,35,35,1,31,2,0,34,1,97.14
949,UDAYAPUR,14049,CHANDRAWATI SECONDARY SCHOOL LEKHANIPOK,28.9,36.7,13.2,29.3,34.6,40.6,19,19,0,0,1,0,1,18,5.26
950,UDAYAPUR,14050,PUSHPANJALI SISHUBATIKA RESIDENTAL SECOND,A    37,54.2,49.1,27.3,51.8,47.9,26,26,0,6,13,1,20,6,76.92
