School Number,District,School Code,Name,ENG,NEP,MATH,SCI,SOC,HPE,TOTAL,SAP,DIST,FIRST,SECOND,THIRD,PASS,FAIL,PASS PERCENT
4495,SURKHET,66018,BHAIRAB MA VI AWALCHING,28.2,51.4,12.8,16,48.4,48.1,11,11,0,0,0,0,0,11,0
4496,SURKHET,66019,BHAIRAB MA VI BHAIRABSTHAN,31.7,46,19.8,20.6,41.8,46.6,62,62,0,2,13,0,15,47,24.19
4497,SURKHET,66020,KHAND DEVI MA VI CHAURASE,25.6,48.6,15.6,22.7,43.1,41.6,38,38,0,2,3,0,5,33,13.16
4498,SURKHET,66021,TRIPURESHWAR MA VI DHODEKHALI,37.2,51.8,31.1,30.4,44.3,52,50,50,0,6,21,1,28,22,56
4499,SURKHET,66022,SARASWATI MA VI KALYAN,23.2,52,15.3,18.6,37.6,36,40,40,0,0,6,0,6,34,15
4500,SURKHET,66023,JANA JAGRIT MA VI TOSHRA,24.8,37.5,10.5,12.5,31.2,35.1,13,13,0,0,0,0,0,13,0
4501,SURKHET,66024,JIVAN JYOTI MA VI KAFALKOT,14,38.8,6.3,7.4,21.6,33.4,40,40,0,0,2,0,2,37,5
4502,SURKHET,66026,BHERI MA VI GHUMKHAHARE,17.8,41.2,15.7,13.4,27,33.5,40,39,0,0,4,2,6,33,15.38
4503,SURKHET,66027,JIVAN JYOTI MA VI GUTU,25.3,42.8,26,21.4,37.2,40.8,31,31,0,0,8,0,8,23,25.81
4504,SURKHET,66028,ADARSHA MA VI MAHENDRAGUNJ LEKHAPHARSA,16.6,40.1,14,14.7,29.5,32.8,59,59,0,1,2,2,5,54,8.47
4505,SURKHET,66029,MALIKA MA VI MATELA,28.1,49.4,15.7,24.8,45.2,41.9,28,28,0,1,6,0,7,21,25
4506,SURKHET,66030,VIDHYA JYOTI MA VI BABIYACHAUR,25,44.9,26.2,19.8,35.1,38.7,29,29,0,0,8,1,9,20,31.03
4507,SURKHET,66032,JAN JYOTI MA VI BADDICHAUR,37.5,47.8,34.3,31.5,35.2,45.4,22,22,0,1,12,1,14,8,63.64
4508,SURKHET,66033,S.O.S. HERMANN GMEINER MA VI KALAGAUN,57.5,58.7,48.6,41.5,38.2,47.6,40,40,3,19,6,0,28,12,70
4509,SURKHET,66034,BAGESWARI MA VI RAKAM,17.8,40.5,10.1,12.5,26.7,33.6,43,43,0,0,3,0,3,40,6.98
