Date,Open,High,Low,Close,Volume,Adj Close
2007-10-01,154.63,190.12,152.93,189.95,262077200,25.81
2007-09-04,139.94,155.00,130.00,153.47,283504200,20.85
2007-08-01,133.64,139.65,111.62,138.48,274322600,18.82
2007-07-02,121.05,148.92,119.30,131.76,306916200,17.90
2007-06-01,121.10,127.61,115.40,122.04,290683100,16.58
2007-05-01,99.59,122.17,98.55,121.19,212069700,16.47
2007-04-02,94.14,102.50,89.60,99.80,175953100,13.56
2007-03-01,84.03,96.83,83.75,92.91,187718200,12.62
2007-02-01,86.23,90.81,82.86,84.61,192655600,11.50
2007-01-03,86.29,97.80,81.90,85.73,350823100,11.65
2006-12-01,91.80,92.33,76.77,84.84,224590200,11.53
2006-11-01,81.10,93.16,77.79,91.66,175063900,12.45
2006-10-02,75.10,82.60,72.60,81.08,169198000,11.02
2006-09-01,68.48,77.78,67.82,76.98,226592100,10.46
2006-08-01,67.22,70.00,62.58,67.85,200677600,9.22
2006-07-03,57.52,68.63,50.16,67.96,229657200,9.23
2006-06-01,59.85,63.10,55.41,57.27,212230900,7.78
2006-05-01,70.77,73.80,58.69,59.77,191929000,8.12
2006-04-03,63.67,72.05,61.05,70.39,274727800,9.56
2006-03-01,68.84,69.99,57.67,62.72,260956400,8.52
2006-02-01,74.95,76.46,62.90,68.49,263522000,9.31
2006-01-03,72.38,86.40,70.87,75.51,284898900,10.26
2005-12-01,68.95,75.46,68.81,71.89,162957400,9.77
2005-11-01,57.24,71.07,56.87,67.82,167286900,9.21
2005-10-03,54.16,57.98,47.87,57.59,233146300,7.82
2005-09-01,47.00,54.56,46.09,53.61,153326200,7.28
2005-08-01,42.57,48.33,42.02,46.89,106562600,6.37
2005-07-01,36.83,44.38,36.29,42.65,133204000,5.79
2005-06-01,39.89,40.76,35.52,36.81,133472500,5.00
2005-05-02,36.21,40.94,33.11,39.76,157886900,5.40
2005-04-01,42.09,44.45,34.00,36.06,238656500,4.90
2005-03-01,44.99,45.11,38.83,41.67,174000600,5.66
2005-02-01,77.05,90.88,43.96,44.86,290796800,6.10
2005-01-03,64.78,77.89,62.60,76.90,342366700,5.22
2004-12-01,67.79,67.95,61.60,64.40,184400000,4.37
2004-11-01,52.50,69.57,52.04,67.05,219858600,4.56
2004-10-01,39.12,53.20,37.65,52.40,201245000,3.56
2004-09-01,34.30,39.27,34.19,38.75,96410900,2.63
